request_id,hospital_id,hospital_name,request_latitude,request_longitude,request_state,requested_specialty,requested_condition,hospital_latitude,hospital_longitude,distance_km,state,district,hospital_category,hospital_care_type,specialty_match,specialty_match_strength,total_beds,number_doctor,log_total_beds,log_number_doctor,emergency_available,emergency_unknown,emergency_score,state_total_demand,condition_demand,condition_share_of_state_demand,capacity_score,distance_score,demand_pressure_score,synthetic_heuristic_target
REQ0001,3209,Aims Hospital,23.002494778448067,72.54674339988101,gujarat,cardiology,Fractured Leg,22.9995425,72.5566256,1.0634,Gujarat,Ahmedabad,Public/ Government,Hospital,0,0.0,61.0,0.0,4.127134385045092,0.0,0.0,0,0.0,38,1,0.02631578947368421,0.311369,0.948217,0.966667,0.364152
REQ0001,3208,Parekhs Hospital Pvt.Ltd,23.002494778448067,72.54674339988101,gujarat,cardiology,Fractured Leg,23.0141755,72.5316915,2.015,Gujarat,Ahmedabad,Private,Hospital,0,0.0,60.0,0.0,4.110873864173311,0.0,0.0,0,0.0,38,1,0.02631578947368421,0.308206,0.904158,0.966667,0.35455
REQ0001,3200,Hemato Oncology Clinic Pvt.Ltd.,23.002494778448067,72.54674339988101,gujarat,cardiology,Fractured Leg,23.0365437,72.5611395,4.0626,Gujarat,Ahmedabad,Private,Hospital,0,0.0,12.0,0.0,2.5649493574615367,0.0,0.0,0,0.0,38,1,0.02631578947368421,0.007519,0.816171,0.966667,0.261781
REQ0001,3202,"Dhwani General Hospital, Nursing Home and Materity Home",23.002494778448067,72.54674339988101,gujarat,cardiology,Fractured Leg,23.0100698,72.6450387,10.0958,Gujarat,Ahmedabad,Private,Hospital,0,0.0,20.0,0.0,3.044522437723423,0.0,0.0,0,0.0,38,1,0.02631578947368421,0.100798,0.603632,0.966667,0.242593
REQ0001,15545,Fortis Hospital Mulund,23.002494778448067,72.54674339988101,gujarat,cardiology,Fractured Leg,19.1918191,72.8348753,424.7808,Maharashtra,Mumbai,Private,Hospital,1,1.0,300.0,0.0,5.707110264748875,0.0,0.0,0,0.0,38,1,0.02631578947368421,0.618679,0.0,0.966667,0.551336
REQ0001,15572,\nDr.Mukhi's Raj Hospital,23.002494778448067,72.54674339988101,gujarat,cardiology,Fractured Leg,19.1725542,72.942537,427.8446,Maharashtra,Mumbai,Private,Hospital,0,0.0,50.0,0.0,3.9318256327243257,0.0,0.0,0,0.0,38,1,0.02631578947368421,0.273381,0.0,0.966667,0.165012
REQ0001,15553,Hira Mongi Navneet Hospital,23.002494778448067,72.54674339988101,gujarat,cardiology,Fractured Leg,19.1709732,72.9505973,428.1006,Maharashtra,Mumbai,Private,Hospital,0,0.0,120.0,0.0,4.795790545596741,0.0,0.0,0,0.0,38,1,0.02631578947368421,0.441425,0.0,0.966667,0.207023
REQ0001,15571,Platinum Hospitals,23.002494778448067,72.54674339988101,gujarat,cardiology,Fractured Leg,19.1565109,72.9637728,429.8366,Maharashtra,Mumbai,Private,Hospital,0,0.0,100.0,0.0,4.61512051684126,0.0,0.0,0,0.0,38,1,0.02631578947368421,0.406284,0.0,0.966667,0.198238
REQ0001,15578,Sai Seva Hospital And Icu,23.002494778448067,72.54674339988101,gujarat,cardiology,Fractured Leg,19.157935,72.9934762,430.0001,Maharashtra,Mumbai,Private,Hospital,1,1.0,25.0,0.0,3.258096538021482,0.0,0.0,0,0.0,38,1,0.02631578947368421,0.142339,0.0,0.966667,0.432251
REQ0001,15541,Holy Spirit Hospital,23.002494778448067,72.54674339988101,gujarat,cardiology,Fractured Leg,19.1229678,72.8641387,432.639,Maharashtra,Mumbai,Public/ Government,Hospital,1,1.0,350.0,0.0,5.860786223465865,0.0,0.0,0,0.0,38,1,0.02631578947368421,0.64857,0.0,0.966667,0.558809
REQ0001,15565,Nanavati Hospital,23.002494778448067,72.54674339988101,gujarat,cardiology,Fractured Leg,19.094854,72.839654,435.5718,Maharashtra,Mumbai,Public/ Government,Hospital,0,0.0,352.0,0.0,5.8664680569332965,0.0,0.0,0,0.0,38,1,0.02631578947368421,0.649675,0.0,0.966667,0.259085
REQ0001,15546,Zynova Heart Hospital,23.002494778448067,72.54674339988101,gujarat,cardiology,Fractured Leg,19.0889039,72.907247,436.7764,Maharashtra,Mumbai,Private,Hospital,1,1.0,5.0,0.0,1.791759469228055,0.0,0.0,0,0.0,38,1,0.02631578947368421,0.0,0.0,0.966667,0.396667
REQ0001,15573,Rane Heart Hospital,23.002494778448067,72.54674339988101,gujarat,cardiology,Fractured Leg,19.0691719,72.902584,438.9217,Maharashtra,Mumbai,Private,Hospital,1,1.0,30.0,0.0,3.4339872044851463,0.0,0.0,0,0.0,38,1,0.02631578947368421,0.17655,0.0,0.966667,0.440804
REQ0001,15542,Lilavati Hospital and Research Centre,23.002494778448067,72.54674339988101,gujarat,cardiology,Fractured Leg,19.0515721,72.8346314,440.3375,Maharashtra,Mumbai,Private,Hospital,1,1.0,314.0,0.0,5.752572638825633,0.0,0.0,0,0.0,38,1,0.02631578947368421,0.627522,0.0,0.966667,0.553547
REQ0001,15544,Jaslok Hospital,23.002494778448067,72.54674339988101,gujarat,cardiology,Fractured Leg,18.9681978,72.8072647,449.4081,Maharashtra,Mumbai,Private,Hospital,1,1.0,364.0,0.0,5.8998973535824915,0.0,0.0,0,0.0,38,1,0.02631578947368421,0.65,0.0,0.966667,0.559167
REQ0001,15543,Fortis Hiranandani Hospital,23.002494778448067,72.54674339988101,gujarat,cardiology,Fractured Leg,18.7501386,73.0420662,475.6314,Maharashtra,Mumbai,Private,Hospital,1,1.0,149.0,0.0,5.0106352940962555,0.0,0.0,0,0.0,38,1,0.02631578947368421,0.483213,0.0,0.966667,0.51747
